                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.3308,                 1.0302,                  1.075,                0.70471,                 0.3917,                0.43912,                 0.2657,                 1.2344,                0.91193,                 1.0393,               0.008713,               0.008713,               0.008713
                    133,                 1.3331,                 1.0306,                 1.0753,                0.70652,                0.39095,                0.43903,                0.26606,                 1.2343,                0.91183,                 1.0392,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.3345,                  1.032,                 1.0762,                0.70499,                0.39251,                0.43892,                 0.2658,                 1.2339,                 0.9118,                  1.039,              0.0086932,              0.0086932,              0.0086932
                    135,                  1.333,                 1.0312,                 1.0757,                0.70815,                0.39158,                0.43905,                0.26576,                  1.234,                0.91141,                 1.0389,              0.0086833,              0.0086833,              0.0086833
                    136,                 1.3358,                 1.0346,                 1.0763,                0.71152,                0.39033,                0.43937,                0.26596,                 1.2337,                0.91116,                 1.0388,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.3349,                 1.0319,                 1.0755,                 0.7108,                0.39179,                0.43924,                0.26592,                 1.2337,                0.91076,                 1.0387,              0.0086635,              0.0086635,              0.0086635
                    138,                 1.3307,                 1.0294,                 1.0748,                0.71755,                0.38976,                0.43951,                0.26576,                 1.2338,                0.91073,                 1.0387,              0.0086536,              0.0086536,              0.0086536
                    139,                 1.3359,                 1.0337,                 1.0753,                0.71529,                0.39107,                0.43981,                0.26608,                 1.2337,                0.91045,                 1.0387,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.3325,                 1.0323,                 1.0751,                0.71555,                0.39082,                0.43994,                0.26584,                 1.2338,                0.91027,                 1.0387,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.3324,                 1.0306,                 1.0751,                 0.7127,                0.39271,                0.43979,                0.26588,                 1.2335,                0.90995,                 1.0386,              0.0086239,              0.0086239,              0.0086239
                    142,                 1.3318,                 1.0282,                 1.0736,                0.71222,                0.39318,                0.44074,                0.26624,                 1.2335,                0.90987,                 1.0386,               0.008614,               0.008614,               0.008614
                    143,                 1.3325,                 1.0295,                 1.0747,                0.71041,                0.39365,                0.44084,                0.26616,                 1.2334,                 0.9099,                 1.0385,              0.0086041,              0.0086041,              0.0086041
                    144,                  1.331,                 1.0282,                  1.075,                0.70528,                0.39589,                0.44031,                0.26577,                 1.2332,                0.90958,                 1.0383,              0.0085942,              0.0085942,              0.0085942
                    145,                 1.3311,                 1.0272,                 1.0735,                0.71049,                0.39145,                0.44027,                0.26578,                 1.2331,                 0.9096,                 1.0382,              0.0085843,              0.0085843,              0.0085843
                    146,                 1.3287,                 1.0263,                 1.0728,                0.71017,                0.39181,                0.44062,                0.26606,                 1.2328,                0.90937,                 1.0382,              0.0085744,              0.0085744,              0.0085744
                    147,                 1.3283,                  1.025,                 1.0729,                0.71031,                0.39176,                0.44043,                  0.266,                 1.2328,                0.90896,                 1.0381,              0.0085645,              0.0085645,              0.0085645
                    148,                 1.3319,                 1.0278,                 1.0727,                0.70908,                0.39371,                0.44041,                0.26631,                 1.2326,                0.90873,                  1.038,              0.0085546,              0.0085546,              0.0085546
